2019-01-16 13:47:18,550 [Worker-114] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-16 13:47:18,558 [Worker-114] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-16 13:47:18,560 [Worker-114] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-16 13:48:17,772 [Worker-116] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-16 13:48:17,772 [Worker-116] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-16 13:48:17,788 [Worker-116] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-16 13:48:17,788 [Worker-116] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-16 13:48:35,157 [Worker-111] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-16 13:48:35,173 [Worker-111] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-16 13:48:35,173 [Worker-111] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-16 13:48:35,173 [Worker-111] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-16 13:49:16,974 [Worker-111] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-16 13:49:16,974 [Worker-111] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-16 13:49:16,989 [Worker-111] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-16 13:49:16,989 [Worker-111] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-16 13:49:32,318 [Worker-114] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-16 13:49:32,318 [Worker-114] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-16 13:49:32,318 [Worker-114] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-16 13:49:32,318 [Worker-114] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-16 13:58:05,585 [Worker-111] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-16 13:58:05,585 [Worker-111] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-16 13:58:05,585 [Worker-111] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-16 13:58:05,585 [Worker-111] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-16 13:59:05,960 [Worker-115] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-16 13:59:05,960 [Worker-115] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-16 13:59:05,960 [Worker-115] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-16 13:59:05,960 [Worker-115] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-16 13:59:46,115 [Worker-115] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-16 13:59:46,115 [Worker-115] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-16 13:59:46,115 [Worker-115] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-16 13:59:46,131 [Worker-115] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-16 14:04:48,147 [Worker-122] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-16 14:04:48,163 [Worker-122] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-16 14:04:48,163 [Worker-122] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-16 14:04:48,163 [Worker-122] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
